OTUid	Kingdom	K_identity	Phylum	P_identity	Class	C_identity	Order	O_identity	Family	F_identity	Genus	G_identity	Species	S_identity
Zotu1824	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	0.89	AsCoM_g_71	0.26	AsCoM_s_2716	0.25
Zotu829	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Bradyrhizobiaceae	1	AsCoM_g_71	0.88	AsCoM_s_2716	0.87
Zotu722	Bacteria	1	Gemmatimonadota	1	Gemmatimonadetes	1	Gemmatimonadales	1	Gemmatimonadaceae	1	AsCoM_g_737	1	AsCoM_s_737	1
Zotu222	Bacteria	1	Patescibacteria	0.97	Parcubacteria	0.97	Ca_Kaiserbacteria	0.37	AsCoM_f_8169	0.24	AsCoM_g_7374	0.14	AsCoM_s_7374	0.14
Zotu393	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Cytophagales	1	Microscillaceae	1	AsCoM_g_7380	0.96	AsCoM_s_8955	0.96
Zotu627	Bacteria	1	Gemmatimonadota	1	Gemmatimonadetes	1	Gemmatimonadales	1	Gemmatimonadaceae	1	AsCoM_g_748	1	AsCoM_s_748	1
Zotu178	Bacteria	1	Actinobacteria	1	Actinobacteria	1	AsCoM_o_570	1	AsCoM_f_931	1	AsCoM_g_7562	1	AsCoM_s_7562	1
Zotu913	Bacteria	1	Actinobacteria	1	Actinobacteria	0.98	AsCoM_o_570	0.98	AsCoM_f_931	0.98	AsCoM_g_7562	0.98	AsCoM_s_7562	0.98
Zotu192	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Flavobacteriales	1	Flavobacteriaceae	1	AsCoM_g_7605	1	AsCoM_s_7605	1
Zotu481	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Flavobacteriales	1	Flavobacteriaceae	1	AsCoM_g_7605	1	AsCoM_s_7605	1
Zotu371	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Holosporales	0.98	Holosporaceae	0.98	AsCoM_g_8799	0.98	AsCoM_s_8799	0.98
Zotu281	Bacteria	1	Firmicutes	0.33	Bacilli	1	Acholeplasmatales	1	Anaeroplasmataceae	1	Asteroleplasma	1	unknown	unknown
Zotu392	Bacteria	1	Firmicutes	0.41	Bacilli	1	Acholeplasmatales	1	Anaeroplasmataceae	1	Asteroleplasma	1	unknown	unknown
Zotu495	Bacteria	1	Firmicutes	1	Bacilli	1	Acholeplasmatales	1	Anaeroplasmataceae	1	Asteroleplasma	1	unknown	unknown
Zotu463	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Asticcacaulis	1	AsCoM_s_4033	0.94
Zotu395	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Alcaligenaceae	0.99	Azohydromonas	0.99	Azohydromonas_australica	0.98
Zotu10774	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.8	Azospirillales	0.62	Azospirillaceae	0.62	Azospirillum	0.62	AsCoM_s_6113	0.62
Zotu11052	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.69	Azospirillales	0.69	Azospirillaceae	0.69	Azospirillum	0.69	AsCoM_s_6113	0.69
Zotu1254	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	0.9	Azospirillaceae	0.9	Azospirillum	0.9	AsCoM_s_6113	0.9
Zotu1352	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Azospirillales	0.8	Azospirillaceae	0.8	Azospirillum	0.8	AsCoM_s_6113	0.8
Zotu190	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	1	Azospirillaceae	1	Azospirillum	1	AsCoM_s_6113	1
Zotu208	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	1	Azospirillaceae	1	Azospirillum	1	AsCoM_s_6113	1
Zotu344	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	1	Azospirillaceae	1	Azospirillum	1	AsCoM_s_6113	1
Zotu416	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	0.92	Azospirillaceae	0.92	Azospirillum	0.92	AsCoM_s_6113	0.92
Zotu437	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	1	Azospirillaceae	1	Azospirillum	1	AsCoM_s_6113	1
Zotu453	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	1	Azospirillaceae	1	Azospirillum	1	AsCoM_s_6113	1
Zotu500	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	0.79	Azospirillaceae	0.79	Azospirillum	0.79	AsCoM_s_6113	0.79
Zotu687	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	0.82	Azospirillaceae	0.82	Azospirillum	0.82	AsCoM_s_6113	0.82
Zotu8824	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.79	Azospirillales	0.73	Azospirillaceae	0.72	Azospirillum	0.72	AsCoM_s_6113	0.72
Zotu459	Bacteria	1	Bdellovibrionota	1	Bdellovibrionia	1	Bdellovibrionales	1	Bdellovibrionaceae	1	Bdellovibrio	1	AsCoM_s_14703	0.94
Zotu1006	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Beijerinckiaceae	0.9	Bosea	0.83	Bosea_lathyri	0.73
Zotu1454	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Rhizobiales	0.99	Beijerinckiaceae	0.68	Bosea	0.68	Bosea_lathyri	0.62
